lng1,lat1,lng2,lat2,id1,id2
-72.503848,42.14848,-72.504102,42.148492,250138001011,250138001012
-72.504102,42.148492,-72.50436,42.148472,250138001011,250138001012
-72.50436,42.148472,-72.504891,42.148424,250138001011,250138001012
-72.504891,42.148424,-72.50522,42.148395,250138001011,250138001012
-72.50522,42.148395,-72.505844,42.148342,250138001011,250138001012
-72.505844,42.148342,-72.506363,42.148297,250138001011,250138001012
-72.506363,42.148297,-72.506499,42.148291,250138001011,250138001012
-72.506499,42.148291,-72.506587,42.148293,250138001011,250138001012
-72.506587,42.148293,-72.50676,42.148305,250138001011,250138001012
-72.50676,42.148305,-72.506881,42.148322,250138001011,250138001012
-72.506881,42.148322,-72.506999,42.148347,250138001011,250138001012
-72.506999,42.148347,-72.507198,42.148396,250138001011,250138001012
-72.507198,42.148396,-72.507356,42.148446,250138001011,250138001012
-72.507356,42.148446,-72.50747,42.148491,250138001011,250138001012
-72.50747,42.148491,-72.50758,42.148542,250138001011,250138001012
-72.50758,42.148542,-72.507685,42.148598,250138001011,250138001012
-72.507685,42.148598,-72.5078,42.148673,250138001011,250138001012
-72.5078,42.148673,-72.50832,42.149077,250138001011,250138001012
-72.50832,42.149077,-72.508487,42.149182,250138001011,250138001012
-72.508487,42.149182,-72.508621,42.149247,250138001011,250138001012
-72.508621,42.149247,-72.508763,42.149305,250138001011,250138001012
-72.508763,42.149305,-72.508912,42.149348,250138001011,250138001012
-72.508912,42.149348,-72.508998,42.149366,250138001011,250138001012
-72.508998,42.149366,-72.509177,42.149389,250138001011,250138001012
-72.509177,42.149389,-72.50934,42.149401,250138001011,250138001012
-72.50934,42.149401,-72.50952,42.149406,250138001011,250138001012
-72.50952,42.149406,-72.509714,42.149398,250138001011,250138001012
-72.509714,42.149398,-72.510506,42.149303,250138001011,250138001012
-72.510506,42.149303,-72.511153,42.149231,250138001011,250138001012
-72.511153,42.149231,-72.511657,42.149172,250138001011,250138001012
-72.511657,42.149172,-72.512449,42.14908,250138001011,250138001012
-72.512449,42.14908,-72.513245,42.148986,250138001011,250138001012
-72.513245,42.148986,-72.513499,42.148963,250138001011,250138001012
-72.513499,42.148963,-72.513637,42.148962,250138001011,250138001012
-72.513637,42.148962,-72.513845,42.148977,250138001011,250138001012
-72.513845,42.148977,-72.514045,42.149005,250138001011,250138001012
-72.514045,42.149005,-72.514198,42.149037,250138001011,250138001012
-72.514198,42.149037,-72.514276,42.149059,250138001011,250138001012
-72.514276,42.149059,-72.514398,42.1491,250138001011,250138001012
-72.514398,42.1491,-72.514634,42.149191,250138001011,250138001012
-72.514634,42.149191,-72.514758,42.149249,250138001011,250138001012
-72.514758,42.149249,-72.515117,42.149437,250138001011,250138001012
-72.515117,42.149437,-72.515353,42.149554,250138001011,250138001012
-72.515353,42.149554,-72.515549,42.149634,250138001011,250138001012
-72.515549,42.149634,-72.515792,42.149718,250138001011,250138001012
-72.515792,42.149718,-72.515894,42.149745,250138001011,250138001012
-72.515894,42.149745,-72.515999,42.149767,250138001011,250138001012
-72.515999,42.149767,-72.516213,42.149802,250138001011,250138001012
-72.516213,42.149802,-72.516419,42.149821,250138001011,250138001012
-72.516419,42.149821,-72.51668,42.149828,250138001011,250138001012
-72.51668,42.149828,-72.517115,42.149818,250138001011,250138001012
-72.503234,42.145341,-72.503346,42.145793,250138001011,250138001013
-72.503346,42.145793,-72.503393,42.145992,250138001011,250138001013
-72.503393,42.145992,-72.503448,42.146223,250138001011,250138001013
-72.503448,42.146223,-72.503595,42.146984,250138001011,250138001013
-72.503595,42.146984,-72.503727,42.147701,250138001011,250138001013
-72.503727,42.147701,-72.503757,42.147895,250138001011,250138001013
-72.503757,42.147895,-72.503848,42.14848,250138001011,250138001013
-72.517115,42.149818,-72.517444,42.149496,250138001011,250138002021
-72.517444,42.149496,-72.518173,42.148701,250138001011,250138002021
-72.518173,42.148701,-72.5187,42.148141,250138001011,250138002021
-72.5187,42.148141,-72.51903,42.147777,250138001011,250138002021
-72.51903,42.147777,-72.519236,42.147556,250138001011,250138002021
-72.519236,42.147556,-72.519738,42.147,250138001011,250138002021
-72.519738,42.147,-72.520279,42.146415,250138001011,250138002021
-72.520279,42.146415,-72.520812,42.145849,250138001011,250138002021
-72.520812,42.145849,-72.521323,42.145276,250138001011,250138002021
-72.521323,42.145276,-72.521676,42.1449,250138001011,250138002021
-72.521676,42.1449,-72.522195,42.144335,250138001011,250138002021
-72.522195,42.144335,-72.522796,42.14368,250138001011,250138002021
-72.522796,42.14368,-72.52303,42.143401,250138001011,250138002021
-72.52303,42.143401,-72.523131,42.143261,250138001011,250138002021
-72.523131,42.143261,-72.523232,42.143066,250138001011,250138002021
-72.523232,42.143066,-72.523623,42.142138,250138001011,250138002021
-72.523623,42.142138,-72.523736,42.141869,250138001011,250138002021
-72.523736,42.141869,-72.5242,42.140727,250138001011,250138002021
-72.5242,42.140727,-72.524339,42.140405,250138001011,250138002021
-72.524339,42.140405,-72.523713,42.140592,250138001011,250138015021
-72.523713,42.140592,-72.52004,42.141743,250138001011,250138015021
-72.524339,42.140405,,,250138001011,250138015023
-72.503234,42.145341,,,250138001011,250138015031
-72.52004,42.141743,-72.519437,42.141911,250138001011,250138015033
-72.519437,42.141911,-72.518621,42.142157,250138001011,250138015033
-72.518621,42.142157,-72.516094,42.142889,250138001011,250138015033
-72.516094,42.142889,-72.51555,42.143038,250138001011,250138015033
-72.51555,42.143038,-72.514999,42.143173,250138001011,250138015033
-72.514999,42.143173,-72.513756,42.143467,250138001011,250138015033
-72.513756,42.143467,-72.512045,42.143794,250138001011,250138015033
-72.512045,42.143794,-72.511958,42.143809,250138001011,250138015033
-72.511958,42.143809,-72.508929,42.14434,250138001011,250138015033
-72.508929,42.14434,-72.5065,42.144767,250138001011,250138015033
-72.5065,42.144767,-72.506054,42.14485,250138001011,250138015033
-72.506054,42.14485,-72.505749,42.144907,250138001011,250138015033
-72.505749,42.144907,-72.504997,42.145041,250138001011,250138015033
-72.504997,42.145041,-72.5038,42.145244,250138001011,250138015033
-72.5038,42.145244,-72.503234,42.145341,250138001011,250138015033
-72.517115,42.149818,-72.51668,42.149828,250138001012,250138001011
-72.51668,42.149828,-72.516419,42.149821,250138001012,250138001011
-72.516419,42.149821,-72.516213,42.149802,250138001012,250138001011
-72.516213,42.149802,-72.515999,42.149767,250138001012,250138001011
-72.515999,42.149767,-72.515894,42.149745,250138001012,250138001011
-72.515894,42.149745,-72.515792,42.149718,250138001012,250138001011
-72.515792,42.149718,-72.515549,42.149634,250138001012,250138001011
-72.515549,42.149634,-72.515353,42.149554,250138001012,250138001011
-72.515353,42.149554,-72.515117,42.149437,250138001012,250138001011
-72.515117,42.149437,-72.514758,42.149249,250138001012,250138001011
-72.514758,42.149249,-72.514634,42.149191,250138001012,250138001011
-72.514634,42.149191,-72.514398,42.1491,250138001012,250138001011
-72.514398,42.1491,-72.514276,42.149059,250138001012,250138001011
