Id,Income
1500000US360010001001,39145
1500000US360010001002,31506
1500000US360010002001,16047
1500000US360010002002,35429
1500000US360010002003,28883
1500000US360010002004,18510
1500000US360010003001,50881
1500000US360010003002,24425
1500000US360010003003,43836
1500000US360010003004,14299
1500000US360010004011,71921
1500000US360010004031,51339
1500000US360010004032,61985
1500000US360010004033,48971
1500000US360010004034,42255
1500000US360010004041,-
1500000US360010005011,21205
1500000US360010005012,31908
1500000US360010005013,39883
1500000US360010005014,25417
1500000US360010005021,19375
1500000US360010005022,46635
1500000US360010006001,14254
1500000US360010006002,21266
1500000US360010006003,18656
1500000US360010007001,36591
1500000US360010007002,25385
1500000US360010007003,40139
1500000US360010007004,11446
1500000US360010008001,24028
1500000US360010008002,20515
1500000US360010008003,21406
1500000US360010011001,12452
1500000US360010014001,42862
1500000US360010014002,35045
1500000US360010014003,18472
1500000US360010015001,20524
1500000US360010015002,53889
1500000US360010015003,27137
1500000US360010015004,59453
1500000US360010016001,25125
1500000US360010016002,28438
1500000US360010016003,54688
1500000US360010016004,59676
1500000US360010017001,53954
1500000US360010017002,79688
1500000US360010017003,67875
1500000US360010017004,94219
1500000US360010018011,84333
1500000US360010018012,64236
1500000US360010018013,71333
1500000US360010018014,68977
1500000US360010018015,62634
1500000US360010018021,59898
1500000US360010018022,45743
1500000US360010018023,71797
1500000US360010018024,38261
1500000US360010019011,101389
1500000US360010019012,35605
1500000US360010019013,95733
1500000US360010019021,91607
1500000US360010019022,90037
1500000US360010019023,60978
1500000US360010020001,55174
1500000US360010020002,62083
1500000US360010020003,41463
1500000US360010020004,53713
1500000US360010020005,59091
1500000US360010021001,30197
1500000US360010021002,18445
1500000US360010021003,36771
1500000US360010022001,35667
1500000US360010022002,41875
1500000US360010023001,21574
1500000US360010023002,32750
1500000US360010025001,16326
1500000US360010025002,19931
1500000US360010025003,28750
1500000US360010025004,55515
1500000US360010025005,17169
1500000US360010026001,42369
1500000US360010026002,55240
1500000US360010026003,26746
1500000US360010026004,41626
1500000US360010127001,56813
1500000US360010127002,62361
1500000US360010127003,44063
1500000US360010128001,34342
1500000US360010128002,68977
1500000US360010128003,31528
1500000US360010128004,25733
1500000US360010129001,32148
1500000US360010129002,18173
1500000US360010129003,18043
1500000US360010129004,33220
1500000US360010130001,62639
1500000US360010130002,64833
1500000US360010130003,45380
1500000US360010130004,44589
1500000US360010130005,46569
1500000US360010131001,60000
1500000US360010131002,51477
1500000US360010131003,41518
1500000US360010132001,37750
1500000US360010132002,19506
1500000US360010132003,55428
1500000US360010132004,55938
1500000US360010132005,28712
1500000US360010133001,43627
1500000US360010133002,65114
1500000US360010133003,51225
1500000US360010133004,50938
1500000US360010134001,39044
1500000US360010134002,52083
1500000US360010134003,37993
1500000US360010135031,110688
1500000US360010135032,78250
1500000US360010135033,52245
1500000US360010135051,84531
1500000US360010135052,62692
1500000US360010135061,76845
1500000US360010135062,85795
1500000US360010135063,31598
1500000US360010135071,97667
1500000US360010135072,59844
1500000US360010135081,96902
1500000US360010135082,75987
1500000US360010135083,82258
1500000US360010136011,49559
1500000US360010136012,96806
1500000US360010136013,94625
1500000US360010136014,108958
1500000US360010136015,34727
1500000US360010136021,60856
1500000US360010136022,98226
1500000US360010136023,53546
1500000US360010137031,99250
1500000US360010137051,51747
1500000US360010137052,70583
1500000US360010137053,76415
1500000US360010137054,70750
1500000US360010137061,111250
1500000US360010137071,71773
1500000US360010137072,91667
1500000US360010137073,133950
1500000US360010138011,93151
1500000US360010138012,62452
1500000US360010138013,24432
1500000US360010138014,51111
1500000US360010138015,54063
1500000US360010138016,90529
1500000US360010138017,70606
1500000US360010138021,105850
1500000US360010138022,112143
1500000US360010138023,69205
1500000US360010139011,65625
1500000US360010139012,71250
1500000US360010139021,77008
1500000US360010139022,92143
1500000US360010139023,75889
1500000US360010140011,51532
1500000US360010140012,54781
1500000US360010140013,67159
1500000US360010140021,51198
1500000US360010140022,61000
1500000US360010140023,65208
1500000US360010140024,67778
1500000US360010141001,87164
1500000US360010141002,63500
1500000US360010141003,124176
1500000US360010141004,143571
1500000US360010142011,66934
1500000US360010142012,78750
1500000US360010142013,94732
1500000US360010142014,84543
1500000US360010142021,58568
1500000US360010142022,111339
1500000US360010142023,110179
1500000US360010142024,120903
1500000US360010142031,95221
1500000US360010142032,133942
1500000US360010142033,122857
1500000US360010142034,68750
1500000US360010142035,88604
1500000US360010143011,67500
1500000US360010143012,68679
1500000US360010143021,110598
1500000US360010143022,71179
1500000US360010143023,100590
1500000US360010143024,88088
1500000US360010144011,45139
1500000US360010144012,60417
1500000US360010144013,70000
1500000US360010144021,47633
1500000US360010144022,61736
1500000US360010145011,88917
1500000US360010145012,64821
1500000US360010145021,106111
1500000US360010145022,71528
1500000US360010145023,42179
1500000US360010145031,72917
1500000US360010145032,87321
1500000US360010146061,103145
1500000US360010146062,64323
1500000US360010146063,83750
1500000US360010146071,96154
1500000US360010146072,108750
1500000US360010146073,79107
1500000US360010146074,107589
1500000US360010146075,88077
1500000US360010146081,87063
1500000US360010146082,73750
1500000US360010146091,47212
1500000US360010146092,79583
1500000US360010146093,66557
1500000US360010146111,150083
1500000US360010146112,80123
1500000US360010146121,79643
1500000US360010146131,93398
1500000US360010146132,83750
1500000US360010146133,62228
1500000US360010146141,132946
1500000US360010146142,54308
1500000US360010146143,66875
1500000US360010146144,123542
1500000US360010146151,61858
1500000US360010147001,63664
1500000US360010147002,67120
1500000US360010148011,66326
1500000US360010148012,51402
1500000US360010148021,46250
1500000US360010148022,61000
1500000US360010148023,47250
1500000US360010148031,72292
1500000US360010148032,64406
1500000US360039402001,-
1500000US360039501001,37898
1500000US360039501002,39904
1500000US360039501003,69135
1500000US360039503001,38816
1500000US360039503002,44688
1500000US360039503003,51071
1500000US360039504001,40625
1500000US360039504002,39063
1500000US360039504003,52000
1500000US360039505001,47025
1500000US360039505002,49750
1500000US360039505003,63173
1500000US360039505004,42361
1500000US360039506001,35842
1500000US360039506002,44483
1500000US360039506003,40833
1500000US360039507001,47240
1500000US360039507002,41344
